id,name,category,latLng,url
4eecccbd722ea77616d7d3f3,Biología Break Point,Surf,"-38.026534874993665-57.53149084572071",https://foursquare.com/v/biolog%C3%ADa-break-point/4eecccbd722ea77616d7d3f3
4d583759577aa09311254fb9,Luna Roja,Surf,"-38.17281958320754-57.639845768981495",https://foursquare.com/v/luna-roja/4d583759577aa09311254fb9
50bb8875e4b080f301572a6d,Playa Costa Azul,Surf,"-37.889204090355406-57.52086657759629",https://foursquare.com/v/playa-costa-azul/50bb8875e4b080f301572a6d
511fa324e4b016a06f96770b,La mesón de la cuqui,Surf,"-38.10159914371898-57.56318211775726",https://foursquare.com/v/la-mes%C3%B3n-de-la-cuqui/511fa324e4b016a06f96770b
4f7de58ae4b0fe09419ae6af,Mi playa...,Surf,"-37.97682571411133-57.54220199584961",https://foursquare.com/v/mi-playa/4f7de58ae4b0fe09419ae6af
50ccd682e4b0f94b32eeac89,Balneario portofino playa grande,Surf,"-38.02721486132515-57.53137475786964",https://foursquare.com/v/balneario-portofino-playa-grande/50ccd682e4b0f94b32eeac89
50ed9ab7e4b024688c40cd76,Playa Waikiki,Surf,"-38.010818787489775-57.54057373762856",https://foursquare.com/v/playa-waikiki/50ed9ab7e4b024688c40cd76
4f05f84b99116f05b61f781c,Kite Beach,Surf,"-38.097578641595454-57.543597857795376",https://foursquare.com/v/kite-beach/4f05f84b99116f05b61f781c
50e9c455e4b0b7b972f7e03e,Playa Camet Norte,Surf,"-37.82587579468601-57.489801497848894",https://foursquare.com/v/playa-camet-norte/50e9c455e4b0b7b972f7e03e
4f415f50e4b0f6acbc3b6a11,Playa Daprotis,Surf,"-37.96711741257589-57.540999431159236",https://foursquare.com/v/playa-daprotis/4f415f50e4b0f6acbc3b6a11
4eee24a1e30021559447a4da,La Sirena,Surf,"-38.07888244093511-57.5401148751134",https://foursquare.com/v/la-sirena/4eee24a1e30021559447a4da
4e23771315207ed86eb6605b,Morgan Beach,Surf,"-37.96116804048033-57.53962755203247",https://foursquare.com/v/morgan-beach/4e23771315207ed86eb6605b
4f20561ce4b00a97bea0a581,El Chiringuito,Surf,"-37.963035238325965-57.55791247489424",https://foursquare.com/v/el-chiringuito/4f20561ce4b00a97bea0a581
4f538cb6e4b0754d58cf1b6b,Verde mundo Balneario,Surf,"-38.09830193738672-57.55516993245893",https://foursquare.com/v/verde-mundo-balneario/4f538cb6e4b0754d58cf1b6b
50f96098e4b0f0c821413efa,Balneario Ibiza,Surf,"-38.05223846435547-57.541282653808594",https://foursquare.com/v/balneario-ibiza/50f96098e4b0f0c821413efa
4f4a701de4b082dc5866c45e,La carpa del Loco Gonza,Surf,"-38.02769394187328-57.531131526599786",https://foursquare.com/v/la-carpa-del-loco-gonza/4f4a701de4b082dc5866c45e
50b2878ee4b02d25ae05bde0,La Pepa,Surf,"-38.00202560424805-57.54341125488281",https://foursquare.com/v/la-pepa/50b2878ee4b02d25ae05bde0
4d150063bb488cfabb379cd4,Cabo Surf,Surf,"-38.083373-57.537922",https://foursquare.com/v/cabo-surf/4d150063bb488cfabb379cd4
4e4ee547e4cdc76dc9a9a695,Summer House Rivas Residence,Surf,"-38.11249187452792-57.59878817119016",https://foursquare.com/v/summer-house-rivas-residence/4e4ee547e4cdc76dc9a9a695
4bf400722d6295211c0f6058,Yacht,Surf,"-38.03213782339926-57.52849102020264",https://foursquare.com/v/yacht/4bf400722d6295211c0f6058
4f09f657e4b090ef238085d9,Surf Ryder,Surf,"-38.107-57.5732",https://foursquare.com/v/surf-ryder/4f09f657e4b090ef238085d9
